,Price,MPG,passenger_capacity,passenger_door,weight_lbs,passenger_volume_ft3,wheelbase_in,trach_width_front_in,height_in,fuel_tank_gal,sae_net_torque_rpm,sae_net_horsepower_rpm,Displacement,trans_type,airbag_frontal_driver,airbag_frontal_passenger,airbag_passenger_switch_onoff,airbag_side_body_front,airbag_side_body_rear,aibag_side_head_front,aibag_side_head_rear,brakes_abs,child_safety_doorlocks_rear,daytime_running_lights,traction_control,night_vision,rollover_protection_bars,fog_lamps,parking_aid,tire_pressure_motor,backup_camera,stability_control,Mileage,basic_years,corrosion_miles_km,corrosion_years,Drivetrain_Years,Curb_to,road_size,Make,front_wid,rim,Engine_Electric,Engine_Flat,Engine_I6,Engine_l3,Engine_l4,Engine_l5,Engine_l6,Engine_V6,Engine_V8,Engine_V10,Engine_V12,Engine_W8,Engine_W12,Drivetrain_4WD,Drivetrain_AWD,Drivetrain_FWD,Drivetrain_RWD,Category_Car,Category_Pickup,Category_SUV,Category_Van
Mileage,0.529258995,-0.094651213,-0.118995463,-0.049206172,0.104083135,-0.130408002,-0.120928632,-0.045562309,-0.116714696,0.086306809,0.109806636,0.122540066,-0.077355721,0.213857483,0.025006553,0.004917224,0.034882694,0.2107945,0.076497659,0.097230177,0.000905381,0.062562196,-0.079256377,0.075078939,0.100341957,NA,0.141916505,-0.003984931,0.096832116,0.017218148,-0.075209767,0.104455706,1,0.600125409,0.229012441,0.249395377,0.264883677,0.179262276,-0.182627375,0.522883481,-0.017639001,-0.216264893,0.09029877,NA,0.057037084,0.072915898,-0.026578205,0.022440102,0.007576032,0.028923353,-0.105093034,-0.074932949,0.020773627,0.021456964,NA,0.510936749,-0.024855142,0.205229033,-0.092518939,-0.108678564,0.05434096,NA,-0.018567078
basic_years,0.046683541,0.034313102,-0.097674096,0.057063912,-0.096405779,-0.134767295,-0.21104653,-0.16775399,-0.080159148,-0.084642912,-0.112752478,-0.122273661,-0.28724467,0.193570721,0.031362151,0.003009114,0.052154372,0.260559339,-0.032878559,0.176100018,0.038622274,0.067701558,0.035698708,0.054029358,0.090583375,NA,0.08349043,0.087587897,-0.011807189,-0.006605933,-0.061324189,0.112539429,0.600125409,1,0.263981091,0.439892414,0.138040333,0.418495745,-0.306738843,0.654703476,-0.061202013,-0.157195016,-0.049427969,NA,0.086165136,0.110153041,-0.033787954,0.139794424,0.011445007,0.04369411,-0.111165858,-0.144818321,0.031382431,0.032414739,NA,-0.044411985,-0.004731136,0.145195557,-0.040755984,-0.112467843,-0.013986068,NA,0.061398467
corrosion_miles_km,0.07338065,0.137366768,0.024960251,-0.010255121,-0.057376794,-0.016656727,-0.189147125,-0.043145404,-0.052844349,-0.195659586,-0.084036779,-0.062552694,-0.227326583,0.09464648,-0.021168686,-0.030786846,0.015495263,0.146635598,-0.052993235,0.157364428,0.134378763,0.034877561,0.040709532,-0.087319252,0.070735969,NA,0.078360295,0.062037493,0.087216652,0.166170173,0.106603002,0.087489784,0.229012441,0.263981091,1,0.282563147,-0.296038993,-0.024540285,-0.167899045,0.143406842,0.16548493,-0.188521701,0.026172137,NA,-0.121545004,0.08653248,0.018665456,0.14257133,0.00997234,0.038071847,-0.03151622,-0.179077234,0.027344352,-0.002856451,NA,0.04062831,0.008495456,0.130962875,0.014016213,-0.168410267,0.057644682,NA,-0.062084805
corrosion_years,0.174712368,-0.048442233,-0.195445626,-0.117949316,0.036440526,-0.260438268,-0.11757333,-0.204397221,-0.241702916,0.013150287,0.088956913,0.015698135,-0.232421436,0.234811561,0.018546746,-0.041644554,0.179424884,0.227761562,-0.131782578,0.151039873,0.02772261,0.163639986,-0.113246558,0.102618694,0.197330585,NA,0.224908739,0.25310941,0.024123119,-0.015307729,-0.206508932,0.179554518,0.249395377,0.439892414,0.282563147,1,-0.386592497,-0.249896064,-0.108653625,0.724681369,-0.116035483,-0.337067572,-0.012608889,NA,-0.012994086,0.305570005,-0.026234,0.050837782,0.033493166,0.12786835,-0.184071545,-0.005109141,0.091838916,0.039595771,NA,-0.052074987,-0.122688493,0.348512552,-0.227809349,-0.062954825,0.180732595,NA,-0.147791405
Drivetrain_Years,0.030193783,-0.059776208,0.109821811,0.134913624,0.088107815,0.159269114,0.179369198,0.209579498,0.197426129,0.114110695,-0.016734928,0.038217382,0.080582897,0.040967244,0.017277977,0.037135869,-0.10902047,0.111382401,0.151277702,0.132943849,0.203394654,0.018936348,0.149306984,0.024156193,0.073738251,NA,-0.096538721,-0.105383893,0.008004136,0.214605201,0.044404311,0.128192736,0.264883677,0.138040333,-0.296038993,-0.386592497,1,0.669500394,-0.013937557,0.133255522,0.167538337,0.156825163,0.138811695,NA,-0.116914731,-0.149463156,-0.01350585,0.046555119,-0.015529365,-0.059287148,0.062772515,-0.042922453,-0.042581822,-0.043982528,NA,0.193327056,-0.007846299,-0.054399627,0.121237288,-0.081220781,-0.176442506,NA,0.174940484
Curb_to,-0.199116174,0.075764934,0.080697417,0.171961477,-0.08944337,0.120828153,0.003768766,0.085510605,0.180407211,-0.055483345,-0.169501499,-0.143163606,-0.087890509,-0.031388477,0.008191944,0.024194797,-0.091722987,0.055384963,0.009661683,0.064462727,0.094145793,-0.010428224,0.157566237,-0.116719012,0.002260159,NA,-0.10152979,-0.068117967,-0.064389142,0.124307217,0.088010987,0.050150344,0.179262276,0.418495745,-0.024540285,-0.249896064,0.669500394,1,-0.166938501,0.122536333,0.136876045,0.17062658,-0.013343194,NA,-0.085955901,-0.109885557,-0.005454906,0.129710108,-0.011417215,-0.043588008,0.034068359,-0.102549799,-0.031306225,-0.032336027,NA,-0.072758364,0.07258478,-0.098396117,0.153012665,-0.106279244,-0.192301456,NA,0.194031069
road_size,0.305360813,-0.43179683,0.25985883,0.200488989,0.611528686,0.37751954,0.651303275,0.581262812,0.26392272,0.585539321,0.406973863,0.409217964,0.440496553,0.197414408,0.039130881,0.032638068,-0.084301184,-0.055331046,0.033194944,0.052047791,0.188907682,0.182365164,0.178681963,0.102779249,0.132923231,NA,-0.061157463,0.02612165,0.277381706,0.136518862,0.153836565,0.103743523,-0.182627375,-0.306738843,-0.167899045,-0.108653625,-0.013937557,-0.166938501,1,-0.184136767,0.080008187,-0.009185152,0.450780714,NA,-0.162870656,0.025046291,-0.037518147,-0.426293904,-0.012797119,0.046873862,0.323840207,0.173882563,0.065379344,0.079004992,NA,0.035550768,-0.010448161,0.221962958,-0.203224334,-0.000644988,-0.208007975,NA,0.188335962
Make,0.183445206,-0.052053847,-0.151345986,-0.050561089,0.03810702,-0.174594904,-0.094367112,-0.099857105,-0.11561148,0.014668276,0.04697308,0.007854402,-0.236806608,0.290382633,0.029023569,-0.027987463,0.031919011,0.334304551,-0.068837001,0.198807436,0.125896128,0.133325363,-0.017471197,0.079290799,0.186805451,NA,0.156093205,0.162179786,0.026207516,0.104584677,-0.190541107,0.182411145,0.522883481,0.654703476,0.143406842,0.724681369,0.133255522,0.122536333,-0.184136767,1,0.000178359,-0.230254825,0.028684559,NA,-0.131530546,0.215520418,-0.024702877,0.123785945,0.025257222,0.096425618,-0.159755057,-0.062384005,0.061445069,-0.011663766,NA,0.102900444,-0.081784554,0.280391711,-0.10997661,-0.146647612,0.053326166,NA,-0.019324781
front_wid,0.111761274,0.224184044,0.077881406,0.041434069,0.060579878,0.119169159,0.14455738,0.27075523,0.130282551,-0.127366063,0.128111522,0.162976537,-0.089222197,0.324291946,0.039330847,0.015673065,-0.195908855,0.485279444,0.152033985,0.420698607,0.552776043,0.342465854,0.134001333,0.511774038,0.44793527,NA,-0.063842832,-0.137553684,0.326589271,0.656622612,0.683357438,0.562362548,-0.017639001,-0.061202013,0.16548493,-0.116035483,0.167538337,0.136876045,0.080008187,0.000178359,1,-0.255103847,0.436599465,NA,-0.246301476,-0.072626732,0.046368512,0.231079132,0.002526798,0.07114841,-0.087157891,-0.073903085,-0.033199178,-0.067236845,NA,0.010526058,-0.121263869,0.037105812,0.10669856,-0.115589209,-0.132783801,NA,0.103020749
rim,-0.46758236,0.098872113,0.459131445,0.399852829,0.018864767,0.455616339,0.034276328,0.118925645,0.60004116,0.06699378,-0.490147159,-0.487552369,-0.157565299,-0.335795692,-0.026691293,0.011190576,-0.017478218,-0.24557157,-0.11489685,-0.054905146,-0.02089431,-0.193783845,0.291568702,-0.305473517,-0.310344327,NA,-0.117300887,-0.12118087,-0.272848957,-0.089457706,-0.183435275,-0.299143783,-0.216264893,-0.157195016,-0.188521701,-0.337067572,0.156825163,0.17062658,-0.009185152,-0.230254825,-0.255103847,1,-0.531008929,NA,0.003639615,-0.067943947,0.015879551,0.030604502,-0.037529233,-0.064126152,0.270175031,-0.331929696,-0.083279604,-0.03217186,NA,-0.114458626,0.232195004,-0.129823421,0.250756694,-0.260823196,-0.514888605,NA,0.475643227
Engine_Electric,0.517351585,-0.449310738,0.087889781,-0.084213158,0.623949906,0.193124332,0.511946388,0.585562572,0.110206606,0.500216915,0.652334929,0.671969683,0.492319241,0.464664684,0.024584564,0.025314989,-0.111328516,0.279587014,0.098869368,0.199077803,0.287483919,0.323082837,-0.021691299,0.27401746,0.389302558,NA,0.032289474,0.156437892,0.484277929,0.362634181,0.382509497,0.424815111,0.09029877,-0.049427969,0.026172137,-0.012608889,0.138811695,-0.013343194,0.450780714,0.028684559,0.436599465,-0.531008929,1,NA,-0.111328516,-0.054332409,-0.032249626,-0.372456182,0.023014881,0.048826442,0.178495401,0.300614873,0.063107252,0.046811035,NA,0.139527653,-0.075666001,0.274862191,-0.357051554,0.154587394,-0.121759793,NA,0.154482286
Engine_Flat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
